review,label
这套书虽然也是两年前买的，孩子相对来说不是很喜欢，书的质量也不太好，看着看着就散了。,1
翻译太生硬了，还不如英文系本科生的水平，感觉就是百度翻译复制下来的，还是看原版吧。如果翻译者本身就没理解原著的内涵，那么信、达、雅就基本难以实现了。差劲的翻译把作者想表达的内容搞得支离破碎，给原著五星，翻译纯扣分,1
内容太空泛了，就算是１小时读完的东西，也不能只写些肤浅的感悟，哪怕放几个典型性的场景案例也能让人印象更深刻一些．．．,0
第一章洗屁屁里面小姑娘乐乐每天坚持洗屁屁，洗完后的描述居然是又白又香的屁屁，不清楚作者是男还是女，若是男士，心里是否正常有待商榷吧,1
蜜糖很稀，完全没有柠檬的味道，就一般的蜂蜜而已。,1
便宜东西，用完身上是香，但是不自然，是那种香精味道，反正我是不喜欢，这个用完还是用我原来的那个吧，可悠然的。,1
很失望，质量不好，小孩掉木地板上就解体了，好在能组装回去。后来在淘宝上看到几块钱的和这个一模一样。,0
"物流每次都是放在管理处(管理处不负责丢失责任,基本无人看管),然后就一个手机短信知会,强烈谴责.",1
跟以前买的包装有差别，用起来也还好，so…,1
买来袋子就是破的，哎，太伤心了。便宜货，认了。,0
也许是清关原因，一个订单两罐产品，分别在两个海关报关，耐心等待两次快递。这是第三方发货，类似这种情况，亚马逊应该有所提示，这样我购买时可以有其他选择。,1
比一般市面上的调理牛排牛排要好！卖家发货很快，包装也很好！！还送了刀叉和相应数量的调料包和黄油，还有搞活动所赠送的甜虾，美中不足的是刀叉戳破了2包黑胡椒调料包（建议：以后赠送刀叉的时候刀叉另外用纸或袋子包一下！）刚才还收到了另外补寄的发票（其实我也没想要发票~呵呵！不过就此就能感觉卖家服务非常到位！！） 补充建议：卓越这边的活动没有其他平台上的给力，希望在卓越也能享受到大希地在其他平台的活动！ 以后还会继续来这里买的！！！,2
估计还不适合现在的我，豆瓣说玄学意味太浓，我反正跟着书里已经走丢了。,1
保温效果还行，不过其他地方的设计不够细致，总觉得不是那么好用！,1
老妈说是两三年前的米，今天拿来煮饭煮粥了，一点味道都没有，也没有嚼劲，4块钱一斤，不值得,1
偏小就算了，还是高仿的，穿一晚鞋里标志都掉了。,1
今天上亚马逊看看衣服到哪里了，一看吓一跳，上面写周三已签收，到今天周六了我也没有看见快递员啊，那我的衣服去哪里了？没有快递员电话，也没有接到过电话或通知，派送怎么就完成了。,0
最早是在公众号连载看完这本小说 后来知道终于出了纸质版，那是一定要买的，太喜欢了 实体书很厚，纸张还不错,2
书寄到后非常完整。一个角都没折。惊喜。以后买书只上亚马逊。,2
这个系列都是精品!纸张尹帅还有内容都是非常棒！,2
对比后决定买的这个，很详细的历史记录，更多从二战的军事角度写，读完对二战基本了解,2
新买的厨师机只能打发液体的东西，在和面时机器就会自动停机，得双手扶住才能正常工作，多次联系客服，均得不到合理的解决办法！提醒大家，海外购，售后保障真是问题，还是觉得淘宝最好！国货最好！他们的东西再好，没有售后，真不如国产！下次再也不会到亚马逊购物了！,0
这本书个人意识极其强烈，不管是对遣词造句和对一些事件的看法，都是非常主观的，说实话很多东西真经不起什么推敲。如果没有一定的认知辨别能力，真容易带沟里，对初学者误解很大。 可取的是作者在工作遇到的问题，然后给出的解决方案，值得思考和借鉴，至于个人的观点和论述观点的内容，不敢苟同。,1
商品收到，这次是忘了票据还是自己没有填写抬头。,2
没想到是纯儿童读物，画的也不是很细致，比较失望。,1
与卖家描述完全一致，鞋子做工细腻，穿起来很舒服,2
除了尺码太大，其他全部满分！ 差评给亚马逊，首先尺码标注有问题，明显大至少一码，其次海外购只能选择退货，还需要买家承担国际运费，我认为是由于卖家尺码标注的问题导致退换货，却把成本强加在买家身上有失公允！ 希望亚马逊别沦落成和某宝一样。。。,0
质量很好，材质不错，款式很漂亮，做工好， 物有所值 超喜欢。,2
亚马逊真是可以，第一次发给我的居然是一本盗版的，拿到手以后我还在嘀咕，雅思官方手册这种大头，为什么会随便找了个野鸡出版社？里面内页还是歪斜的，果断申请了换货，换来的这本是北语出版社的，封面也有了质感，内页质量也好了很多，但是mac没法读盘，去北语的网站上找资源也已经被删除，真是可以……现在在用百度下载别人分享的，心累，什么年代了还在用光盘，够够的了。,1
并没有传说中的那么好吃呀%>_<%,2
假的千万别买 再也不会在亚马逊上买化妆品了,0
没有使用，由于其过滤网推荐的使用寿命太短，所以直接退货了。,1
不吐不快。喝这个牌子的奶已有一段时间，个人还是比较认同它的口感的。但我3月份订购，亚马逊你送来5月19日到期的奶是什么意思？虽然确实仍在保质期内，但显然大多数消费者是不太倾向于选购这种接近质保最后期限的商品的。且这不是第一次，1月份订购时你们送来的也是保质期剩不到半年的奶。,1
墨迹太淡了真的怀疑是不是盗版，和第三本一对比，简直就想退掉了，犹豫中,1
质量很好，边缘光滑扎不到宝宝的手，没有异味，值得购买,2
犹豫写不写，因为差评和商品没太大关系，经历过美国亚马逊，德国亚马逊，英国亚马逊，也经过美国亚马逊委托中国亚马逊的客服服务，没这么差呀？自己养活自己，白天得上班，东西体积大送到单位还得搬回家，就留了家里地址，有预约时间服务，定好时间在家等着，本来的约会都推了，快递师傅辛苦，我不能让人白跑一趟，早点到，晚点儿到给人家打个富余，不可能那么可丁可卯的准时。一次又一次的被晃点，提前一个小时两个小时我都没话说，定的下班后的时间，早晨上班还在路上就告诉说来了，而且不能下班后送，说他忙，说他有事，所以不行，就是不行。打客服投诉，客服总是让我跟快递师傅商量，要是能商量我还打电话投诉干什么，一串抱歉遗憾，还是鬼打墙似的让我跟快递师傅商量。没辙这种事一直发生，于是，自己想了办法，工作日不行，我就周六周日送，我一天都在家等着，也不行，经常周六周日傍晚打电话问什么时候到，人家告诉周一可以送，一个堂堂中国亚马逊，快递流程连天天韵达都不如，打客服还是那句话，非常抱歉，您还是得跟快递师傅商量。 没这金刚钻别拦着瓷器活，你不能预约就别把预约的选项放那里，没有那个服务别人也不会说什么，有了就尽量做好，那个服务毕竟不是摆设。,1
给我的感觉就是一本推理小说套上了宗教的外套，故事还是比较精彩的,1
说实话亚马逊上的第三方卖家的东西真的不怎么样。这耳机打电话声音很低。要把耳机往耳朵里面按住才能听到 听歌或者听评书的声音到是能听到。也不高。还不如淘宝上买。不好可以7天无理由退货。亚马逊上退货有点麻烦。就几十块钱想想算了。,0
书的质量没问题，但是里边的文章很没意思。,1
质量一般，一分钱一分货啊，老是有电流的声音，懒得去换,1
虽然这本书价格比较优惠，但是纸质上的触感实在不行。,1
明明没有送到我手里却经常显示我已签收，亚马逊经常这样，服务太差了，如果货物遗失算谁的？必须差评！,0
设计挺不错，体积功能都兼顾到，作为应急儿童安全座椅还是合格的！比某猫所谓全球版那真是实惠太多！,2
太差，做工，材质。如果不是海外购退货麻烦，我再就退了，现在只能自认倒霉了。,0
卡佛的风格，一如既往。不知道该怎么过的时候就看看，当然看了也不会知道。看着这些人的生活心里总会好受一点，不是幸灾乐祸，而是对生活的本质多了一点把握。,2
讲道理这个壳蛮垃圾，还这么贵了，同事买的19块的也没裂这么快，没几天就裂了，差差差,0
给儿子涂鸦用，打打草稿，计算数学题还是可以的,1
翻开后第一页破了个洞，虽然不影响阅读，但也只能给3星,1
送货速度实在是慢，10几天了还没有看到产品在哪，买的时候说预计在2月22日左右到达，今天已经25号了，还不知道产品具体在哪。,0
第一，书页粘贴不好，看上去很像烂了重粘的，见图 第二，内页和书背处装订粗糙，摇摇欲坠，见图 第三，书页是白纸页，更喜欢黄纸页,0
特价买的，作者就不介绍了，大家都知道，可以了解到一点东西，就像我标题说的那样,1
作了几次蛋糕都不错，送的礼物也都很满意，继续研究烤箱的新功能！,2
看到三分之一处实在看不下去了，不吸引我。,1
和第一本一样，值得一看，可以了解很多妇科知识。,2
作为一部第三版的教材类书籍，依然错误百出，这种现象在国内很多学术书籍中经常出现，我只能对国内对待学术的态度深深叹一口气,1
很重，感觉非常不错，颜色特别喜欢，就是快递稍慢了点，等了整整5天,2
那些说不会掉都是骗人的，耳挂太软了，一跑就掉，没办法用！,1
这款电视盒刚拍下，就看到天猫商城出现买盒子送U盘的活动，价格也是189元。 产品还可以，清晰度也很高，但是无线网络的信号也不是很强，看直播还是比较卡。 还有一个明显的缺点就是盒子容易发热，看不了1小时会发热，真担心是不是会烧掉而影响电视机啊！ 其它都还不错，主要就是亚马逊上的电子商品并不是很多。,2
不知道是买到了盗版书还是出版社的问题，里面错题错答案，还有重复的题，给出版社打了电话，也是不了了之，太气愤了！考试题答案错了，不是害人吗,0
促销下单，懒得退了。漏水也就罢了，热水冷却后，无法开盖，盖子拧开，胶垫粘住不能进气。没错，虽然不能进，依旧渗水漏水。,0
有点hao了，总之是快过期的感觉 特价食品，以后小心,0
250毫升这款有单独壶盖卖吗？我的壶盖打碎了。,2
有佛学的精华，也有愚昧人积德行善的劝慰，总体一般,1
包装是打开的，两头都敞着，还是从宁波发来的。是不是真的也弄不清楚。以后还是去专柜买吧,0
